title,num. acts,num. scenes,num. personae
ALL’S WELL THAT ENDS WELL,5,23,22
THE TRAGEDY OF ANTONY AND CLEOPATRA,5,42,40
AS YOU LIKE IT,5,22,33
THE COMEDY OF ERRORS,5,11,22
THE TRAGEDY OF CORIOLANUS,5,29,25
CYMBELINE,5,29,31
"THE TRAGEDY OF HAMLET, PRINCE OF DENMARK",5,20,28
THE FIRST PART OF KING HENRY THE FOURTH,5,19,27
THE SECOND PART OF KING HENRY THE FOURTH,5,19,43
THE LIFE OF KING HENRY THE FIFTH,5,23,56
THE FIRST PART OF HENRY THE SIXTH,5,27,49
THE SECOND PART OF KING HENRY THE SIXTH,5,24,57
THE THIRD PART OF KING HENRY THE SIXTH,5,28,43
KING HENRY THE EIGHTH,5,16,51
THE LIFE AND DEATH OF KING JOHN,5,16,32
THE TRAGEDY OF JULIUS CAESAR,5,18,34
THE TRAGEDY OF KING LEAR,5,26,27
LOVE’S LABOUR’S LOST,5,9,28
THE TRAGEDY OF MACBETH,5,28,34
MEASURE FOR MEASURE,5,17,34
THE MERCHANT OF VENICE,5,20,27
THE MERRY WIVES OF WINDSOR,5,23,31
A MIDSUMMER NIGHT’S DREAM,5,9,33
MUCH ADO ABOUT NOTHING,5,17,24
"THE TRAGEDY OF OTHELLO, THE MOOR OF VENICE",5,15,21
"PERICLES, PRINCE OF TYRE",5,22,25
THE LIFE AND DEATH OF KING RICHARD THE SECOND,5,19,35
KING RICHARD THE THIRD,5,25,51
THE TRAGEDY OF ROMEO AND JULIET,5,24,34
THE TAMING OF THE SHREW,5,12,38
THE TEMPEST,5,9,29
THE LIFE OF TIMON OF ATHENS,5,18,42
THE TRAGEDY OF TITUS ANDRONICUS,5,14,37
TROILUS AND CRESSIDA,5,24,41
"TWELFTH NIGHT; OR, WHAT YOU WILL",5,18,19
THE TWO GENTLEMEN OF VERONA,5,20,20
THE TWO NOBLE KINSMEN,5,24,43
THE WINTER’S TALE,5,15,34
